[ブロードソード] スキル1 | カットオフ | 上段 | (350/0/2)
[ソーブレイド] スキル4 | マクアウィトル | 奥義 | (300/-300/1)
[ソーブレイド] スキル5 | レイオマノ | 奥義 | (300/-300/1)
[ギガントアーム] スキル1 | スピンナックル | 上段 | (250/100/1)
[ギガントアーム] スキル2 | バーストナックル | 中段 | (400/-50/1)
[ギガントアーム] スキル3 | アースクエイク | 下段 | (550/-150/1)
[ギガントアーム] スキル4 | ベアハッグ | 奥義 | (300/-100/1)
[ギガントアーム] スキル5 | バンカーバスター | 無形 | (550/-100/2)
[エストック] スキル1 | タック | 上段 | (150/150/2)
[エストック] スキル2 | コンツェシュ | 中段 | (450/-100/2)
[エストック] スキル3 | パラシュ | 下段 | (150/150/2)
[エストック] スキル4 | シュテッヒ | 奥義 | (50/200/2)
[エストック] スキル5 | ブリッチャー | 無形 | (550/0/1)
[ブレイドシューズ] スキル1 | ネリチャギ | 上段 | (350/0/2)
[ブレイドシューズ] スキル2 | スピニングバック | 下段 | (250/100/2)
[ブレイドシューズ] スキル3 | サマーソルト | 下段 | (400/0/1)
[ブレイドシューズ] スキル4 | ストンピング | 奥義 | (200/-50/1)
[ブレイドシューズ] スキル5 | スライディング | 無形 | (200/200/2)
[カットラス] スキル1 | キープアウェイ | 上段 | (0/250/1)
[カットラス] スキル2 | デパーチャー | 上段 | (400/-50/2)
[カットラス] スキル3 | ビッグウェーブ | 下段 | (350/0/1)
[カットラス] スキル4 | アボルダージュ | 奥義 | (150/0/2)
[カットラス] スキル5 | バッカニア | 無形 | (300/0/2)
[スパイクシールド] スキル1 | オーディール | 上段 | (200/150/2)
[スパイクシールド] スキル2 | ルーリング | 中段 | (350/-50/1)
[スパイクシールド] スキル3 | タックル | 中段 | (150/150/2)
[スパイクシールド] スキル4 | オブジェクション | 下段 | (200/200/1)
[スパイクシールド] スキル5 | トライアル | 奥義 | (150/150/1)
[サイ] スキル1 | メースン | 上段 | (300/0/2)
[サイ] スキル2 | ブンジリ | 中段 | (200/100/1)
[サイ] スキル3 | ナガリユン | 下段 | (150/250/1)
[サイ] スキル4 | ゲキサイ | 奥義 | (150/250/1)
[サイ] スキル5 | ジーファー | 無形 | (750/-100/1)
[鋼糸] スキル1 | ホリゾント | 上段 | (400/-50/2)
[鋼糸] スキル2 | エスクリム | 中段 | (250/0/3)
[鋼糸] スキル3 | マリオネット | 下段 | (300/50/1)
[鋼糸] スキル4 | カーテンコール | 奥義 | (250/50/1)
[鋼糸] スキル5 | グランギニョル | 無形 | (250/50/3)
[ケペシュ] スキル1 | セフェト・ネヘブ | 上段 | (450/-100/1)
[ケペシュ] スキル2 | アネク・セト | 中段 | (50/200/2)
[ケペシュ] スキル3 | セケム・イアフ | 下段 | (400/-50/1)
[ケペシュ] スキル4 | マアト・ヘリ | 奥義 | (300/-100/1)
[ケペシュ] スキル5 | ウジャト・レク | 無形 | (50/200/2)
[ブリーフケース] スキル1 | スレートエッジ | 上段 | (400/0/2)
[ブリーフケース] スキル2 | ソリッドスイープ | 下段 | (200/100/1)
[ブリーフケース] スキル3 | テイクダウン | 奥義 | (50/-50/2)
[ブリーフケース] スキル4 | バレットプルーフ | 無形 | (-100/200/1)
[ブリーフケース] スキル5 | シールドエントリー | 無形 | (500/100/1)
